country,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
Algeria,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,1,1,0,1,4,0,2,7,9,3,10,5,4,1,1,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0
Benin,0,0,1,0,1,0,0,2,0,0,1,1,2,4,2,4,2,0,4,0,5,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Botswana,0,1,1,0,0,0,0,0,0,1,0,1,2,2,1,3,2,0,1,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,2,0,0,4,1,6,8,7,7,5,2,1,2,1,2,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,1,1,3,0,0,1,1,1,0,1,11,17,19,7,25,16,12,9,8,5,7,1,1,3,1,0,0,0,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,1,0,0,1,2,0,3,0,1,1,1,1,4,3,0,2,1,2,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
Chad,0,0,0,0,0,0,1,0,0,0,0,4,1,3,4,0,3,2,0,2,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
